Latitude,Longitude,PredictedClusterID
37.763,-122.422,1
37.93,-121.299,1
33.951,-118.183,2
38.266,-121.997,1
37.588,-122.06,1
34.038,-118.233,2
33.742,-116.958,2
35.589,-119.335,2
38.029,-121.316,1
34.417,-117.177,2
37.827,-122.284,1
37.999,-121.818,1
33.953,-117.65,2
33.994,-117.057,2
37.316,-121.876,1
34.165,-117.333,2
37.751,-122.414,1
33.747,-117.879,2
34.043,-118.245,2
37.948,-121.286,1
34.151,-118.345,2
33.819,-117.94,2
34.05,-117.655,2
33.743,-117.868,2
33.939,-118.22,2
38.306,-122.274,1
34.078,-117.43,2
33.971,-118.229,2
37.789,-122.422,1
38.682,-121.504,1
35.376,-119.015,2
35.355,-119.336,2
38.133,-122.222,1
37.361,-121.959,1
37.302,-121.841,1
33.94,-118.292,2
34.228,-119.183,2
33.05,-117.242,2
35.396,-119.003,2
33.902,-118.337,2
33.836,-117.852,2
35.127,-118.414,2
34.041,-118.212,2
37.404,-121.995,1
39.935,-122.202,1
34.051,-117.721,2
35.5,-119.281,2
33.744,-116.954,2
34.072,-118.205,2
34.323,-118.438,2
33.781,-118.174,2
38.375,-122.792,1
36.211,-119.601,3
33.696,-117.956,2
38.37,-121.492,1
32.754,-117.206,2
33.988,-118.472,2
34.054,-118.044,2
33.874,-118.05,2
33.655,-117.613,2
38.552,-121.434,1
32.802,-117.154,2
33.785,-118.139,2
32.751,-116.699,2
35.787,-119.223,3
34.97,-120.439,3
36.905,-121.751,1
37.809,-122.243,1
33.847,-117.922,2
37.977,-121.343,1
38.951,-119.951,1
36.305,-119.313,3
34.129,-117.9,2
38.677,-121.29,1
37.08,-119.659,3
32.99,-117.164,2
34.671,-118.187,2
34.024,-117.894,2
37.662,-121.872,1
33.833,-118.071,2
34.322,-118.406,2
37.339,-120.579,1
33.857,-118.124,2
35.307,-119.013,2
37.15,-122.127,1
34.059,-118.344,2
39.092,-121.558,1
41.2,-122.275,1
33.999,-118.472,2
33.939,-117.228,2
34.884,-114.64,2
37.556,-122.027,1
38.975,-121.018,1
34.143,-118.398,2
41.236,-122.27,1
33.972,-118.055,2
37.827,-122.269,1
33.299,-117.465,2
36.808,-119.898,3
33.875,-118.156,2
37.355,-121.843,1
37.804,-122.271,1
33.745,-117.015,2
34.009,-118.343,2
37.395,-122.027,1
35.702,-117.87,2
37.295,-121.834,1
37.273,-121.828,1
34.019,-117.593,2
35.411,-119.047,2
37.812,-122.251,1
32.792,-117.1,2
34.205,-118.451,2
36.735,-119.764,3
41.187,-123.704,1
34.034,-117.647,2
36.789,-119.701,3
34.079,-118.029,2
34.07,-117.44,2
38.134,-121.272,1
33.955,-118.114,2
34.884,-117.019,2
34.23,-118.438,2
34.132,-118.267,2
34.211,-117.365,2
36.622,-121.844,1
36.622,-121.844,1
36.295,-119.207,3
40.481,-122.389,1
34.025,-118.259,2
32.562,-117.066,2
34.097,-117.403,2
34.187,-118.466,2
36.603,-121.894,1
33.477,-116.819,2
34.401,-117.603,2
34.108,-117.285,2
33.718,-116.235,2
36.613,-121.844,1
37.779,-122.415,1
34.031,-117.916,2
37.667,-120.92,1
36.803,-119.769,3
33.935,-118.281,2
32.714,-117.159,2
32.665,-115.496,2
36.351,-119.462,3
38.639,-121.337,1
34.019,-117.34,2
33.809,-116.464,2
32.726,-117.224,2
40.806,-124.155,1
37.365,-120.425,1
32.797,-117.239,2
37.255,-121.914,1
34.212,-118.512,2
39.717,-121.848,1
37.748,-122.421,1
37.384,-122.053,1
34.029,-117.511,2
34.005,-117.4,2
37.754,-122.166,1
34.898,-117.027,2
34.095,-117.421,2
34.063,-117.436,2
39.752,-121.624,1
35.375,-119.021,2
33.917,-118.082,2
34.108,-117.29,2
34.077,-117.248,2
37.721,-122.397,1
33.698,-116.251,2
36.674,-121.791,1
33.729,-116.971,2
33.917,-118.209,2
34.108,-117.322,2
33.803,-118.189,2
36.995,-121.573,1
34.219,-119.051,2
37.639,-120.999,1
33.843,-118.307,2
34.572,-118.045,2
33.724,-116.971,2
39.189,-121.29,1
36.069,-119.006,3
37.448,-122.156,1
37.09,-121.022,1
34.073,-118.056,2
36.75,-119.812,3
32.755,-117.16,2
40.613,-122.368,1
37.584,-120.947,1
34.29,-118.449,2
34.42,-118.46,2
34.104,-118.358,2
32.795,-116.963,2
34.23,-118.46,2
37.592,-122.079,1
37.53,-122.052,1
35.296,-118.914,2
38.596,-121.291,1
34.063,-118.294,2
33.843,-117.934,2
34.682,-118.08,2
34.022,-118.163,2
34.196,-118.457,2
33.872,-117.741,2
33.748,-117.854,2
33.748,-117.85,2
33.808,-117.952,2
33.962,-118.362,2
33.962,-118.362,2
35.372,-119.008,2
37.776,-121.143,1
33.887,-118.1,2
33.941,-118.176,2
37.324,-121.878,1
33.878,-118.203,2
37.54,-122.028,1
34.146,-118.247,2
33.981,-118.241,2
37.882,-121.66,1
36.77,-119.791,3
34.06,-117.174,2
38.976,-122.655,1
34.015,-118.139,2
34.308,-118.453,2
37.762,-122.416,1
38.482,-121.44,1
37.649,-120.962,1
34.049,-118.226,2
38.024,-121.295,1
33.669,-117.333,2
34.228,-118.472,2
36.343,-119.264,3
33.478,-117.09,2
33.795,-118.191,2
32.705,-117.056,2
34.026,-118.202,2
41.961,-121.48,1
37.732,-122.431,1
38.674,-121.276,1
34.5935,-120.1401,3
41.735,-122.634,1
37.493,-120.874,1
33.989,-118.333,2
33.994,-118.193,2
32.662,-116.961,2
38.634,-121.333,1
36.779,-119.673,3
33.542,-117.783,2
33.87,-117.974,2
37.368,-121.807,1
33.512,-117.141,2
33.971,-118.188,2
36.825,-119.703,3
38.605,-121.461,1
34.136,-117.287,2
34.935,-120.438,3
34.033,-117.689,2
33.729,-117.048,2
33.935,-118.249,2
34.132,-117.314,2
33.697,-116.269,2
33.91,-118.246,2
34.053,-118.193,2
34.111,-118.316,2
34.491,-118.618,2
32.866,-116.982,2
38.697,-121.302,1
34.038,-118.215,2
33.196,-117.258,2
37.636,-122.08,1
37.987,-121.252,1
33.945,-118.281,2
35.35,-118.983,2
38.713,-121.32,1
32.956,-117.028,2
34.097,-118.306,2
33.726,-116.216,2
33.899,-118.24,2
33.91,-118.246,2
34.129,-117.306,2
33.963,-118.243,2
33.991,-118.225,2
33.787,-118.155,2
37.422,-120.781,1
37.292,-122.009,1
34.072,-117.311,2
33.929,-116.949,2
38.665,-121.23,1
32.808,-116.952,2
33.939,-118.307,2
34.0,-118.25,2
37.665,-120.968,1
33.684,-117.795,2
37.972,-122.028,1
37.739,-122.485,1
36.954,-122.046,1
33.649,-117.289,2
38.889,-121.293,1
38.659,-121.355,1
33.819,-118.316,2
34.241,-118.569,2
33.818,-116.546,2
33.727,-117.903,2
34.128,-117.913,2
32.75,-117.106,2
33.527,-117.163,2
33.975,-118.033,2
40.571,-122.353,1
33.852,-117.907,2
36.971,-121.791,1
34.654,-120.458,3
33.909,-117.977,2
34.023,-118.266,2
35.301,-119.09,2
33.979,-117.976,2
34.022,-118.163,2
33.985,-118.309,2
33.731,-116.954,2
32.983,-115.535,2
37.974,-121.265,1
36.145,-120.371,3
34.075,-118.035,2
34.018,-118.064,2
39.183,-121.018,1
34.069,-117.737,2
36.555,-119.395,3
34.042,-118.263,2
33.682,-117.283,2
34.154,-117.909,2
33.775,-118.121,2
34.135,-116.081,2
34.03,-118.261,2
36.679,-121.635,1
33.828,-118.219,2
38.113,-122.258,1
35.447,-120.639,3
35.381,-118.989,2
34.095,-118.155,2
33.742,-117.871,2
36.773,-119.768,3
37.693,-120.977,1
34.098,-118.329,2
34.136,-117.226,2
39.2,-120.202,1
37.541,-121.994,1
34.027,-118.455,2
34.449,-119.752,2
37.32,-121.013,1
33.903,-118.297,2
40.6529,-122.9283,1
37.755,-122.154,1
38.827,-121.258,1
37.739,-121.115,1
33.135,-117.143,2
36.232,-119.763,3
33.926,-116.814,2
34.041,-118.257,2
33.987,-118.365,2
33.892,-117.331,2
33.701,-118.003,2
37.362,-121.963,1
33.145,-117.034,2
33.809,-117.853,2
38.285,-122.275,1
37.661,-122.065,1
39.725,-121.845,1
33.925,-116.443,2
40.328,-122.281,1
34.044,-118.211,2
40.45,-122.29,1
35.276,-119.005,2
38.311,-122.316,1
34.349,-119.071,2
34.078,-117.611,2
33.954,-118.247,2
33.626,-117.948,2
36.801,-119.772,3
39.13,-121.634,1
33.91,-118.118,2
41.364,-123.989,1
32.872,-117.203,2
37.355,-121.804,1
37.302,-121.894,1
37.784,-122.408,1
32.957,-117.226,2
38.59,-121.287,1
34.275,-118.305,2
32.956,-116.84,2
33.874,-118.165,2
32.977,-117.269,2
33.742,-117.842,2
37.663,-121.85,1
37.647,-122.467,1
34.049,-118.233,2
37.339,-121.888,1
38.368,-121.956,1
34.427,-117.371,2
32.68,-116.512,2
36.786,-119.809,3
33.81,-118.099,2
35.615,-117.681,2
36.584,-119.615,3
34.095,-117.352,2
36.978,-120.058,3
38.003,-121.824,1
33.98,-118.128,2
33.963,-118.205,2
34.582,-118.112,2
34.105,-118.346,2
34.059,-118.263,2
34.19,-118.322,2
38.009,-121.788,1
33.2,-117.253,2
35.124,-120.619,3
34.259,-118.428,2
33.936,-117.273,2
38.65,-121.264,1
33.769,-117.876,2
39.728,-121.837,1
36.013,-120.131,3
37.119,-120.258,3
34.102,-118.333,2
34.021,-117.317,2
33.902,-117.571,2
37.053,-120.82,1
36.305,-119.313,3
39.362,-121.263,1
37.988,-122.324,1
32.726,-117.163,2
38.459,-122.742,1
34.062,-118.502,2
33.929,-118.253,2
37.698,-121.79,1
36.923,-119.794,3
34.895,-120.422,3
34.171,-118.527,2
39.646,-121.778,1
32.725,-117.016,2
38.611,-121.383,1
35.311,-119.021,2
33.921,-116.957,2
34.05,-118.247,2
38.528,-121.47,1
40.869,-124.087,1
34.063,-117.977,2
37.39,-121.842,1
34.029,-118.213,2
32.616,-117.045,2
33.179,-117.298,2
33.73,-118.024,2
37.796,-122.413,1
37.84,-122.297,1
34.143,-117.938,2
34.287,-118.443,2
33.823,-118.338,2
39.077,-121.536,1
37.356,-120.583,1
38.799,-123.016,1
37.601,-121.012,1
38.146,-121.276,1
37.397,-122.017,1
33.938,-117.343,2
38.632,-121.45,1
35.325,-119.021,2
34.897,-117.021,2
38.029,-121.308,1
34.201,-118.457,2
34.65,-120.449,3
36.286,-119.79,3
34.093,-117.864,2
33.951,-118.223,2
34.198,-118.407,2
37.719,-122.388,1
34.078,-117.36,2
40.567,-122.326,1
32.731,-117.248,2
33.861,-118.072,2
33.192,-117.295,2
34.217,-118.589,2
36.2,-119.327,3
33.951,-116.481,2
37.487,-122.226,1
34.196,-118.567,2
35.787,-119.241,3
37.806,-122.296,1
33.803,-118.143,2
34.955,-120.431,3
33.975,-118.274,2
37.22,-121.745,1
34.565,-118.043,2
38.005,-121.894,1
34.084,-118.195,2
41.778,-124.201,1
33.939,-118.296,2
39.124,-122.857,1
33.598,-117.707,2
34.033,-118.159,2
37.967,-121.805,1
38.104,-122.258,1
39.4047,-123.3494,1
33.945,-118.316,2
34.235,-118.457,2
33.708,-117.85,2
37.759,-122.418,1
33.767,-118.195,2
34.0,-117.5,2
34.119,-117.445,2
37.831,-122.274,1
36.217,-119.337,3
33.22,-116.973,2
38.487,-121.475,1
34.033,-118.047,2
37.716,-122.44,1
37.353,-120.626,1
34.885,-116.994,2
37.568,-122.024,1
48.114,-122.154,1
39.506,-121.567,1
33.805,-116.465,2
34.189,-118.562,2
34.01,-118.339,2
33.916,-118.318,2
33.852,-117.934,2
38.923,-121.054,1
39.447,-121.551,1
38.426,-121.483,1
34.048,-117.21,2
36.548,-119.296,3
34.121,-116.37,2
32.564,-117.084,2
37.74,-120.94,1
34.268,-118.43,2
33.874,-117.898,2
33.85,-118.352,2
33.569,-116.079,2
34.013,-117.482,2
33.982,-118.024,2
34.187,-118.444,2
33.963,-118.355,2
32.722,-117.169,2
34.046,-117.812,2
33.748,-117.874,2
40.156,-122.221,1
38.19,-120.613,1
33.744,-118.021,2
37.062,-120.845,1
33.969,-118.09,2
36.755,-119.829,3
33.946,-117.439,2
34.107,-118.272,2
33.828,-117.925,2
33.983,-117.325,2
34.123,-117.222,2
33.878,-118.366,2
34.21,-118.462,2
34.421,-117.351,2
34.009,-118.257,2
32.694,-117.108,2
34.044,-118.162,2
36.739,-119.736,3
37.58,-120.801,1
34.015,-118.401,2
35.329,-119.053,2
35.445,-119.088,2
40.571,-122.353,1
34.023,-117.116,2
34.114,-118.153,2
38.562,-121.492,1
34.038,-118.233,2
34.038,-118.233,2
34.048,-118.187,2
34.522,-117.307,2
38.938,-121.107,1
34.1914,-118.8756,2
33.667,-118.003,2
36.093,-119.197,3
38.029,-121.888,1
34.098,-118.327,2
